sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid,race-sex
1,69,Greater than 45,0,0,0,0,0,F,Aggravated Assault w/Firearm,1,Other-Male
1,34,25 - 45,0,0,0,0,0,F,Felony Battery w/Prior Convict,0,African-American-Male
1,44,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
1,43,25 - 45,0,0,0,0,3,F,arrest case no charge,1,Other-Male
0,39,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,27,25 - 45,1,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",1,Caucasian-Male
0,37,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,41,25 - 45,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,African-American-Male
1,37,25 - 45,0,0,0,0,0,M,Battery,1,Hispanic-Male
1,25,25 - 45,0,0,0,0,3,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,31,25 - 45,1,0,0,0,6,F,Driving While License Revoked,0,Caucasian-Male
0,21,Less than 25,1,0,0,0,0,F,Introduce Contraband Into Jail,1,Caucasian-Female
1,43,25 - 45,1,0,0,0,1,M,Susp Drivers Lic 1st Offense,1,Caucasian-Male
1,32,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
1,27,25 - 45,0,0,0,0,8,F,Carrying Concealed Firearm,0,African-American-Male
1,33,25 - 45,0,0,0,0,0,F,Tampering With Physical Evidence,0,African-American-Male
1,55,Greater than 45,1,0,0,0,0,F,arrest case no charge,1,Caucasian-Male
1,29,25 - 45,1,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Caucasian-Male
0,21,Less than 25,0,0,0,0,2,F,arrest case no charge,1,African-American-Female
1,51,Greater than 45,0,0,0,0,2,M,Unlaw Use False Name/Identity,1,African-American-Male
0,51,Greater than 45,0,0,0,0,7,F,Possession of Cocaine,1,African-American-Female
1,25,25 - 45,1,0,0,0,9,M,Battery,0,Caucasian-Male
1,35,25 - 45,0,1,0,4,13,F,Uttering a Forged Instrument,0,African-American-Male
1,49,Greater than 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Caucasian-Male
1,29,25 - 45,0,0,0,0,0,F,Tampering With Physical Evidence,1,African-American-Male
0,28,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Other-Female
1,31,25 - 45,0,0,0,1,15,F,Attempt Armed Burglary Dwell,1,African-American-Male
1,30,25 - 45,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Hispanic-Male
1,49,Greater than 45,0,0,0,0,4,M,Battery,1,African-American-Male
1,53,Greater than 45,1,0,0,0,8,F,arrest case no charge,1,Caucasian-Male
1,35,25 - 45,0,0,0,0,5,F,Driving While License Revoked,1,African-American-Male
1,62,Greater than 45,0,0,0,0,0,M,Unlaw LicTag/Sticker Attach,1,Hispanic-Male
1,33,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
0,56,Greater than 45,0,0,0,0,0,M,Battery,1,African-American-Female
1,45,Greater than 45,0,0,0,0,6,F,Possession of Cocaine,0,Hispanic-Male
1,22,Less than 25,0,0,0,0,1,F,Burglary Structure Unoccup,1,Hispanic-Male
1,39,25 - 45,0,0,0,0,1,M,arrest case no charge,1,African-American-Male
1,40,25 - 45,0,0,0,0,2,F,arrest case no charge,1,African-American-Male
1,22,Less than 25,1,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Caucasian-Male
0,26,25 - 45,0,0,0,0,1,F,Poss Cocaine/Intent To Del/Sel,0,African-American-Female
1,32,25 - 45,0,0,0,0,0,F,Felony Battery (Dom Strang),1,African-American-Male
1,41,25 - 45,0,0,0,0,1,M,arrest case no charge,1,African-American-Male
1,30,25 - 45,0,0,0,0,8,M,Possess Cannabis/20 Grams Or Less,0,African-American-Male
1,25,25 - 45,0,1,6,1,14,F,arrest case no charge,0,African-American-Male
1,20,Less than 25,0,0,0,0,0,F,Tampering With Physical Evidence,0,Other-Male
0,35,25 - 45,0,0,0,0,1,M,arrest case no charge,1,African-American-Female
1,25,25 - 45,1,0,0,0,9,F,Pos Cannabis W/Intent Sel/Del,0,Caucasian-Male
0,20,Less than 25,1,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,Caucasian-Female
0,54,Greater than 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Caucasian-Female
0,44,25 - 45,0,0,0,0,0,M,Battery,1,Hispanic-Female
1,19,Less than 25,0,0,0,0,1,M,Battery,0,African-American-Male
1,30,25 - 45,0,0,0,0,1,F,Fail To Redeliv Hire/Leas Prop,1,African-American-Male
0,39,25 - 45,1,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,Caucasian-Female
1,30,25 - 45,1,0,0,0,0,F,Possession Of Methamphetamine,1,Caucasian-Male
1,31,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
0,39,25 - 45,1,0,0,0,1,F,Possession of Morphine,1,Caucasian-Female
1,43,25 - 45,1,0,0,0,1,F,Possession of Cocaine,1,Caucasian-Male
1,34,25 - 45,1,0,0,0,0,F,Aggravated Assault w/Firearm,1,Caucasian-Male
1,37,25 - 45,0,0,0,0,3,F,"Poss3,4 Methylenedioxymethcath",1,African-American-Male
1,31,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
0,30,25 - 45,0,0,0,0,1,F,Crim Use of Personal ID Info,1,Other-Female
1,31,25 - 45,1,0,0,0,13,F,arrest case no charge,0,Caucasian-Male
1,52,Greater than 45,1,0,0,0,3,M,Battery,1,Caucasian-Male
1,42,25 - 45,1,0,0,0,6,F,Possession Of Alprazolam,1,Caucasian-Male
0,25,25 - 45,1,0,0,0,2,F,arrest case no charge,1,Caucasian-Female
1,30,25 - 45,1,0,0,0,1,M,Agg Fleeing and Eluding,1,Caucasian-Male
0,37,25 - 45,0,0,0,0,2,M,Petit Theft,1,Other-Female
0,24,Less than 25,0,0,0,0,0,M,Battery,1,African-American-Female
1,31,25 - 45,0,0,0,0,1,M,Lewdness Violation,1,African-American-Male
0,20,Less than 25,0,1,0,0,1,F,arrest case no charge,1,African-American-Female
0,43,25 - 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Caucasian-Female
1,32,25 - 45,0,0,0,0,11,F,Poss Pyrrolidinovalerophenone,0,African-American-Male
1,33,25 - 45,0,0,0,0,8,M,Assault,0,African-American-Male
0,20,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Female
0,26,25 - 45,1,0,0,0,0,M,Fail To Obey Police Officer,1,Caucasian-Female
1,63,Greater than 45,0,0,0,0,1,F,arrest case no charge,1,Hispanic-Male
0,32,25 - 45,0,0,0,0,4,F,arrest case no charge,0,African-American-Female
1,29,25 - 45,0,0,0,0,1,F,Grand Theft in the 3rd Degree,1,Hispanic-Male
1,30,25 - 45,0,0,0,0,1,F,Burglary Conveyance Assault/Bat,1,African-American-Male
1,48,Greater than 45,1,0,0,0,2,M,Battery,1,Caucasian-Male
1,22,Less than 25,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,31,25 - 45,1,0,0,0,0,F,"Deliver 3,4 Methylenediox",1,Caucasian-Male
1,23,Less than 25,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,Hispanic-Male
0,32,25 - 45,0,0,0,0,5,F,Aggravated Assault W/dead Weap,1,African-American-Female
1,52,Greater than 45,0,0,0,0,2,M,Leave Acc/Attend Veh/More $50,1,Hispanic-Male
1,62,Greater than 45,0,0,0,0,8,F,Possession of Cocaine,1,African-American-Male
1,28,25 - 45,0,0,0,0,6,M,Resist/Obstruct W/O Violence,0,African-American-Male
1,54,Greater than 45,0,0,0,0,2,F,Burglary Unoccupied Dwelling,1,Hispanic-Male
1,58,Greater than 45,0,0,0,0,0,F,Possession Of Heroin,1,Hispanic-Male
1,56,Greater than 45,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Male
1,24,Less than 25,0,0,0,0,0,F,Burglary Unoccupied Dwelling,1,Other-Male
1,57,Greater than 45,0,0,0,0,1,F,Driving While License Revoked,1,Hispanic-Male
1,66,Greater than 45,0,0,0,0,3,F,Agg Battery Grt/Bod/Harm,1,African-American-Male
1,37,25 - 45,0,0,0,0,2,M,Battery,0,African-American-Male
1,45,Greater than 45,1,0,0,0,2,F,Lewd or Lascivious Molestation,1,Caucasian-Male
1,23,Less than 25,0,0,0,0,0,F,Possession of Cannabis,0,African-American-Male
1,34,25 - 45,0,0,0,0,2,M,Battery,1,African-American-Male
0,23,Less than 25,0,0,0,0,1,M,Battery,1,African-American-Female
